Bounces: 3158112
Multiplier: 134
Ball: x=10, y=668, radius=10, vSpeed=1.92, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=171, y=669, radius=10, vSpeed=2.12, hSpeed=0.00
Ball: x=742, y=677, radius=10, vSpeed=-1.68, hSpeed=0.00
Ball: x=581, y=664, radius=10, vSpeed=0.72, hSpeed=0.00
Ball: x=486, y=665, radius=10, vSpeed=1.32, hSpeed=0.00
Ball: x=680, y=669, radius=10, vSpeed=-0.88, hSpeed=0.00
Ball: x=610, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=738, y=664, radius=10, vSpeed=0.92, hSpeed=0.00
Ball: x=790, y=664, radius=10, vSpeed=0.12, hSpeed=0.00
Ball: x=465, y=677, radius=10, vSpeed=-1.68, hSpeed=0.00
Ball: x=768, y=669, radius=10, vSpeed=-0.88, hSpeed=0.00
Ball: x=408, y=673, radius=10, vSpeed=2.53, hSpeed=0.00
Ball: x=787, y=665, radius=10, vSpeed=-0.08, hSpeed=0.00
Ball: x=834, y=664, radius=10, vSpeed=0.92, hSpeed=0.00
Ball: x=28, y=677, radius=10, vSpeed=2.93, hSpeed=0.00
Ball: x=723, y=667, radius=10, vSpeed=-0.48, hSpeed=0.00
Ball: x=443, y=674, radius=10, vSpeed=2.98, hSpeed=0.00
Ball: x=282, y=668, radius=10, vSpeed=0.02, hSpeed=0.00
Ball: x=241, y=679, radius=10, vSpeed=3.13, hSpeed=0.00
Ball: x=580, y=668, radius=10, vSpeed=-1.03, hSpeed=0.00
Ball: x=996, y=675, radius=10, vSpeed=2.73, hSpeed=0.00
Ball: x=718, y=664, radius=10, vSpeed=0.32, hSpeed=0.00
Ball: x=418, y=668, radius=10, vSpeed=-0.68, hSpeed=0.00
Ball: x=80, y=664, radius=10, vSpeed=0.12, hSpeed=0.00
Ball: x=568, y=667, radius=10, vSpeed=1.72, hSpeed=0.00
Ball: x=1036, y=679, radius=10, vSpeed=3.13, hSpeed=0.00
Ball: x=212, y=664, radius=10, vSpeed=1.12, hSpeed=0.00
Ball: x=1096, y=664, radius=10, vSpeed=0.12, hSpeed=0.00
Ball: x=500, y=669, radius=10, vSpeed=2.12, hSpeed=0.00
Ball: x=895, y=665, radius=10, vSpeed=1.32, hSpeed=0.00
Ball: x=333, y=673, radius=10, vSpeed=2.53, hSpeed=0.00
Ball: x=752, y=670, radius=10, vSpeed=2.57, hSpeed=0.00
Ball: x=358, y=674, radius=10, vSpeed=2.98, hSpeed=0.00
Ball: x=896, y=667, radius=10, vSpeed=-0.48, hSpeed=0.00
Ball: x=840, y=677, radius=10, vSpeed=2.93, hSpeed=0.00
Ball: x=69, y=664, radius=10, vSpeed=0.12, hSpeed=0.00
Ball: x=76, y=664, radius=10, vSpeed=0.52, hSpeed=0.00
Ball: x=813, y=668, radius=10, vSpeed=1.92, hSpeed=0.00
Ball: x=665, y=669, radius=10, vSpeed=2.12, hSpeed=0.00
Ball: x=159, y=664, radius=10, vSpeed=-0.43, hSpeed=0.00
Ball: x=767, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=1089, y=668, radius=10, vSpeed=-0.68, hSpeed=0.00
Ball: x=934, y=668, radius=10, vSpeed=-1.03, hSpeed=0.00
Ball: x=50, y=675, radius=10, vSpeed=2.73, hSpeed=0.00
Ball: x=377, y=666, radius=10, vSpeed=-0.28, hSpeed=0.00
Ball: x=16, y=675, radius=10, vSpeed=2.73, hSpeed=0.00
Ball: x=758, y=666, radius=10, vSpeed=1.52, hSpeed=0.00
Ball: x=650, y=673, radius=10, vSpeed=2.53, hSpeed=0.00
Ball: x=184, y=662, radius=10, vSpeed=-0.03, hSpeed=0.00
Ball: x=1059, y=666, radius=10, vSpeed=-0.28, hSpeed=0.00
Ball: x=565, y=666, radius=10, vSpeed=-0.28, hSpeed=0.00
Ball: x=71, y=661, radius=10, vSpeed=0.57, hSpeed=0.00
Ball: x=366, y=675, radius=10, vSpeed=-1.48, hSpeed=0.00
Ball: x=438, y=664, radius=10, vSpeed=0.52, hSpeed=0.00
Ball: x=30, y=679, radius=10, vSpeed=-1.88, hSpeed=0.00
Ball: x=606, y=664, radius=10, vSpeed=0.52, hSpeed=0.00
Ball: x=105, y=664, radius=10, vSpeed=0.92, hSpeed=0.00
Ball: x=430, y=664, radius=10, vSpeed=-0.43, hSpeed=0.00
Ball: x=752, y=669, radius=10, vSpeed=-0.88, hSpeed=0.00
Ball: x=78, y=672, radius=10, vSpeed=2.78, hSpeed=0.00
Ball: x=570, y=673, radius=10, vSpeed=2.53, hSpeed=0.00
Ball: x=555, y=675, radius=10, vSpeed=-1.33, hSpeed=0.00
Ball: x=215, y=679, radius=10, vSpeed=3.13, hSpeed=0.00
Ball: x=360, y=664, radius=10, vSpeed=0.32, hSpeed=0.00
Ball: x=678, y=664, radius=10, vSpeed=-0.43, hSpeed=0.00
Ball: x=698, y=664, radius=10, vSpeed=0.72, hSpeed=0.00
Ball: x=775, y=679, radius=10, vSpeed=3.13, hSpeed=0.00
Ball: x=876, y=675, radius=10, vSpeed=2.72, hSpeed=0.00
Ball: x=842, y=664, radius=10, vSpeed=0.92, hSpeed=0.00
Ball: x=406, y=676, radius=10, vSpeed=3.18, hSpeed=0.00
Ball: x=64, y=669, radius=10, vSpeed=2.13, hSpeed=0.00
Ball: x=655, y=664, radius=10, vSpeed=0.92, hSpeed=0.00
Ball: x=804, y=666, radius=10, vSpeed=1.52, hSpeed=0.00
Ball: x=676, y=661, radius=10, vSpeed=0.97, hSpeed=0.00
Ball: x=187, y=664, radius=10, vSpeed=1.13, hSpeed=0.00
Ball: x=130, y=661, radius=10, vSpeed=0.17, hSpeed=0.00
Ball: x=767, y=671, radius=10, vSpeed=-1.07, hSpeed=0.00
Ball: x=646, y=669, radius=10, vSpeed=1.67, hSpeed=0.00
Ball: x=444, y=675, radius=10, vSpeed=2.72, hSpeed=0.00
Ball: x=683, y=667, radius=10, vSpeed=1.72, hSpeed=0.00
Ball: x=86, y=662, radius=10, vSpeed=1.37, hSpeed=0.00
Ball: x=374, y=666, radius=10, vSpeed=-0.28, hSpeed=0.00
Ball: x=623, y=664, radius=10, vSpeed=0.52, hSpeed=0.00
Ball: x=207, y=677, radius=10, vSpeed=-1.67, hSpeed=0.00
Ball: x=19, y=653, radius=10, vSpeed=-0.61, hSpeed=0.00
Ball: x=512, y=664, radius=10, vSpeed=1.68, hSpeed=0.00
Ball: x=819, y=662, radius=10, vSpeed=-0.80, hSpeed=0.00
Ball: x=630, y=661, radius=10, vSpeed=0.37, hSpeed=0.00
